alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,2,4,4,2
Stemmer ganske dårlig,6,7,7,3
Stemmer verken dårlig eller godt,21,16,21,16
Stemmer ganske godt,44,46,46,49
Stemmer svært godt,20,20,17,24
Vet ikke,6,7,6,5
