alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,6,10,14,11
Stemmer ganske dårlig,16,19,22,17
Stemmer verken dårlig eller godt,29,30,29,37
Stemmer ganske godt,31,24,20,20
Stemmer svært godt,10,8,7,6
Vet ikke,8,10,8,9
