alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,7,10,12,7
Stemmer ganske dårlig,16,16,17,14
Stemmer verken dårlig eller godt,32,31,33,38
Stemmer ganske godt,28,26,25,27
Stemmer svært godt,7,7,6,4
Vet ikke,11,10,8,10
