alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,3 ,4 ,4 ,2 
Stemmer ganske dårlig,8 ,7 ,7 ,4 
Stemmer verken dårlig eller godt,19 ,22 ,23 ,19 
Stemmer ganske godt,45 ,43 ,45 ,52 
Stemmer svært godt,19 ,17 ,14 ,19 
Vet ikke,6 ,8 ,8 ,5 
