alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,5 ,8 ,11 ,11 
Stemmer ganske dårlig,10 ,10 ,13 ,19 
Stemmer verken dårlig eller godt,20 ,24 ,27 ,29 
Stemmer ganske godt,35 ,31 ,25 ,21 
Stemmer svært godt,11 ,10 ,8 ,5 
Vet ikke,19 ,17 ,15 ,14 
