alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,4 ,8 ,8 ,6 
Stemmer ganske dårlig,7 ,7 ,5 ,5 
Stemmer verken dårlig eller godt,22 ,24 ,28 ,32 
Stemmer ganske godt,40 ,37 ,38 ,41 
Stemmer svært godt,23 ,21 ,18 ,15 
Vet ikke,4 ,3 ,2 ,1 
