alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,14 ,12 ,9 ,5 
Stemmer ganske dårlig,32 ,30 ,22 ,15 
Stemmer verken dårlig eller godt,31 ,33 ,40 ,45 
Stemmer ganske godt,12 ,12 ,14 ,22 
Stemmer svært godt,5 ,6 ,9 ,8 
Vet ikke,6 ,6 ,6 ,5 
