alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,17 ,19 ,16 ,18 
Stemmer ganske dårlig,32 ,32 ,32 ,32 
Stemmer verken dårlig eller godt,30 ,27 ,29 ,28 
Stemmer ganske godt,9 ,8 ,6 ,6 
Stemmer svært godt,2 ,3 ,3 ,2 
Vet ikke,10 ,11 ,14 ,14 
