alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,16 ,27 ,39 ,33 
Stemmer ganske dårlig,19 ,14 ,18 ,20 
Stemmer verken dårlig eller godt,21 ,21 ,20 ,24 
Stemmer ganske godt,19 ,19 ,12 ,14 
Stemmer svært godt,15 ,12 ,7 ,4 
Vet ikke,10 ,6 ,5 ,3 
