alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,7 ,10 ,15 ,11 
Stemmer ganske dårlig,13 ,11 ,14 ,10 
Stemmer verken dårlig eller godt,28 ,30 ,33 ,38 
Stemmer ganske godt,29 ,25 ,22 ,22 
Stemmer svært godt,12 ,13 ,9 ,9 
Vet ikke,11 ,11 ,9 ,9 
