alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,10 ,13 ,17 ,12 
Stemmer ganske dårlig,10 ,9 ,12 ,11 
Stemmer verken dårlig eller godt,24 ,26 ,31 ,33 
Stemmer ganske godt,31 ,27 ,24 ,31 
Stemmer svært godt,18 ,18 ,11 ,9 
Vet ikke,7 ,7 ,5 ,4 
