alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,14 ,22 ,33 ,32 
Stemmer ganske dårlig,11 ,13 ,18 ,18 
Stemmer verken dårlig eller godt,24 ,20 ,21 ,24 
Stemmer ganske godt,22 ,19 ,12 ,13 
Stemmer svært godt,18 ,15 ,9 ,7 
Vet ikke,11 ,10 ,9 ,5 
