alternatives,Under 30,30-44,45-59,Over 60
Ikke bekymret i det hele tatt,7 ,7 ,9 ,9 
Litt bekymret,30 ,32 ,35 ,34 
Ganske bekymret,38 ,31 ,30 ,34 
Veldig bekymret,21 ,26 ,23 ,22 
Vet ikke,3 ,4 ,2 ,2 
