alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,7 ,10 ,10 ,6 
Stemmer ganske dårlig,14 ,16 ,15 ,12 
Stemmer verken dårlig eller godt,33 ,29 ,35 ,41 
Stemmer ganske godt,32 ,29 ,26 ,30 
Stemmer svært godt,7 ,7 ,4 ,5 
Vet ikke,8 ,9 ,9 ,7 
