alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,7 ,11 ,14 ,12 
Stemmer ganske dårlig,15 ,15 ,19 ,17 
Stemmer verken dårlig eller godt,27 ,30 ,33 ,39 
Stemmer ganske godt,33 ,25 ,19 ,20 
Stemmer svært godt,10 ,10 ,7 ,5 
Vet ikke,7 ,8 ,9 ,7 
