alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,2 ,1 ,2 ,3 
Stemmer ganske dårlig,3 ,2 ,3 ,2 
Stemmer verken dårlig eller godt,10 ,10 ,14 ,14 
Stemmer ganske godt,26 ,28 ,36 ,41 
Stemmer svært godt,56 ,54 ,42 ,38 
Vet ikke,3 ,3 ,3 ,2 
