alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,52 ,51 ,41 ,37 
Stemmer ganske dårlig,25 ,26 ,33 ,37 
Stemmer verken dårlig eller godt,12 ,13 ,16 ,15 
Stemmer ganske godt,5 ,4 ,4 ,6 
Stemmer svært godt,2 ,2 ,2 ,2 
Vet ikke,5 ,4 ,4 ,2 
