alternatives,Under 30,30-44,45-59,Over 60
Ikke bekymret i det hele tatt,11 ,18 ,24 ,18 
Litt bekymret,40 ,40 ,45 ,45 
Ganske bekymret,31 ,24 ,20 ,25 
Veldig bekymret,14 ,14 ,9 ,9 
Vet ikke,4 ,4 ,3 ,2 
