alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,4 ,11 ,13 ,11 
Stemmer ganske dårlig,6 ,7 ,6 ,6 
Stemmer verken dårlig eller godt,20 ,17 ,19 ,15 
Stemmer ganske godt,41 ,31 ,32 ,35 
Stemmer svært godt,20 ,26 ,23 ,28 
Vet ikke,9 ,9 ,7 ,5 
