alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,9 ,11 ,13 ,10 
Stemmer ganske dårlig,18 ,18 ,20 ,19 
Stemmer verken dårlig eller godt,29 ,29 ,32 ,36 
Stemmer ganske godt,26 ,25 ,18 ,22 
Stemmer svært godt,10 ,9 ,7 ,6 
Vet ikke,8 ,8 ,9 ,7 
