alternatives,Under 30,30-44,45-59,Over 60
Ikke kommentert / I svært liten grad,16 ,25 ,30 ,27 
I ganske liten grad,31 ,25 ,26 ,26 
I verken liten eller stor grad,29 ,29 ,27 ,29 
I ganske stor grad,15 ,12 ,10 ,10 
I svært stor grad,1 ,2 ,1 ,1 
Vet ikke,7 ,7 ,6 ,7 
