alternatives,Under 30,30-44,45-59,Over 60
(Nesten) Daglig,3 ,2 ,2 ,2 
Ukentlig,12 ,12 ,13 ,16 
Månedlig,38 ,29 ,26 ,27 
Sjeldnere,36 ,40 ,42 ,42 
Aldri,8 ,12 ,12 ,9 
Vet ikke,4 ,4 ,4 ,4 
