alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,10 ,16 ,20 ,16 
Stemmer ganske dårlig,19 ,19 ,24 ,25 
Stemmer verken dårlig eller godt,26 ,28 ,30 ,35 
Stemmer ganske godt,28 ,21 ,14 ,13 
Stemmer svært godt,9 ,8 ,4 ,2 
Vet ikke,7 ,8 ,8 ,9 
