alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,9 ,7 ,4 ,3 
Stemmer ganske dårlig,19 ,12 ,8 ,8 
Stemmer verken dårlig eller godt,31 ,28 ,32 ,35 
Stemmer ganske godt,17 ,22 ,26 ,25 
Stemmer svært godt,10 ,14 ,18 ,19 
Vet ikke,16 ,18 ,13 ,11 
