alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,9 ,11 ,20 ,10 
Stemmer ganske dårlig,12 ,13 ,16 ,19 
Stemmer verken dårlig eller godt,23 ,24 ,25 ,31 
Stemmer ganske godt,29 ,22 ,18 ,22 
Stemmer svært godt,17 ,19 ,15 ,14 
Vet ikke,11 ,10 ,6 ,4 
