alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,16 ,29 ,43 ,38 
Stemmer ganske dårlig,16 ,13 ,16 ,21 
Stemmer verken dårlig eller godt,21 ,19 ,16 ,22 
Stemmer ganske godt,26 ,17 ,11 ,13 
Stemmer svært godt,12 ,13 ,9 ,4 
Vet ikke,9 ,9 ,4 ,2 
