alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,51 ,50 ,40 ,38 
Stemmer ganske dårlig,22 ,23 ,27 ,29 
Stemmer verken dårlig eller godt,12 ,13 ,17 ,16 
Stemmer ganske godt,7 ,7 ,7 ,10 
Stemmer svært godt,2 ,3 ,4 ,5 
Vet ikke,4 ,5 ,4 ,2 
