alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,9 ,18 ,22 ,21 
Stemmer ganske dårlig,16 ,12 ,13 ,11 
Stemmer verken dårlig eller godt,24 ,20 ,19 ,17 
Stemmer ganske godt,33 ,25 ,24 ,30 
Stemmer svært godt,8 ,14 ,16 ,19 
Vet ikke,11 ,11 ,6 ,3 
